Negative Discrimination,Positive Discrimination,priors_count[High],GDS-,GDS+
0.13409703746723947,0.18697036795406882,0,0.41766007761291063,0.5823399223870893
0.13113758721307872,0.20855988777622658,0,0.3860422784043577,0.6139577215956423
0.10584153507951186,0.22122892714679285,1,0.3236046886015607,0.6763953113984393
0.13314443965835823,0.1806071432994735,0,0.42436260688524674,0.5756373931147533
0.10734891290268231,0.19445394577523037,1,0.3556921673072893,0.6443078326927107
0.13409703746723947,0.18697036795406882,0,0.41766007761291063,0.5823399223870893
0.13928038396107578,0.17075437567000457,0,0.44924118871964447,0.5507588112803555
0.13611202237268535,0.18342600207095877,0,0.42596502438066175,0.5740349756193383
0.13365204674063366,0.20383775878792595,0,0.39601802647435386,0.6039819735256462
0.13928038396107578,0.17075437567000457,0,0.44924118871964447,0.5507588112803555
0.13113758721307872,0.20855988777622658,0,0.3860422784043577,0.6139577215956423
0.1431924320241178,0.18052808050244212,0,0.44233351450773284,0.5576664854922672
0.10237447774307565,0.21958783148049812,1,0.3179703797936976,0.6820296202063024
0.12696174549667744,0.19245892776044352,0,0.3974750419315479,0.6025249580684521
0.13113758721307872,0.20855988777622658,0,0.3860422784043577,0.6139577215956423
0.10734891290268231,0.19445394577523037,1,0.3556921673072893,0.6443078326927107
0.10734891290268231,0.19445394577523037,1,0.3556921673072893,0.6443078326927107
0.10533392799723641,0.22299831165834036,1,0.32081506253462216,0.6791849374653778
0.13460464454951487,0.21020098344252128,0,0.3903783280260837,0.6096216719739163
0.13515942456380411,0.17706277741636348,0,0.43289498218448114,0.5671050178155188
0.1437000391063932,0.17875869599089458,0,0.4456385374799601,0.5543614625200399
0.13138140064199483,0.2004632480813335,0,0.3959123678728735,0.6040876321271265
0.1381188748179649,0.18047325759420568,0,0.43352883127470665,0.5664711687252934
0.13018498940419748,0.17719666312163126,0,0.4235288226686148,0.5764711773313852
0.10237447774307565,0.21958783148049812,1,0.3179703797936976,0.6820296202063024
0.10237447774307565,0.21958783148049812,1,0.3179703797936976,0.6820296202063024
0.13113758721307872,0.20855988777622658,0,0.3860422784043577,0.6139577215956423
0.10734891290268231,0.19445394577523037,1,0.3556921673072893,0.6443078326927107
